id,name,active
buques__0174,MAERSK NEWHAVEN,true
buques__0175,MAERSK NIAMEY,true
buques__0176,MAERSK SENANG,true
buques__0177,MAERSK YANGTZE,true
buques__0178,MAIRA,true
buques__0179,MAIRA XL,true
buques__0180,MAPOCHO,true
buques__0181,MARY,true
buques__0182,MAULLIN,true
buques__0183,MCC SHANGHAI,true
buques__0184,MEDITERRANEAN BRIDGE,true
buques__0185,MEDITERRANEAN EXPRESS,true
buques__0186,MEERA,true
buques__0187,MIMMI SCHULTE,true
buques__0188,MINERVA,true
buques__0189,MIRACULOUS ACE,true
buques__0190,MIRAMARIN ,true
buques__0191,MIZAR,true
buques__0192,MOL BELIEF,true
buques__0193,MOL EMISSARY,true
buques__0194,MOL GLIDE,true
buques__0195,MOL GRATITUDE,true
buques__0196,MOLLY SCHULTE,true
buques__0197,MONTE ACONCAGUA,true
buques__0198,MONTE AZUL,true
buques__0199,MONTE CERVANTES,true
buques__0200,MONTE PASCOAL,true
buques__0201,MONTE ROSA,true
buques__0202,MONTE VERDE,true
buques__0203,MSC ALGECIRAS,true
buques__0204,MSC ALICANTE,true
buques__0205,MSC ALTAMIRA,true
buques__0206,MSC AMALFI,true
buques__0207,MSC BARBARA,true
buques__0208,MSC BARCELONA,true
buques__0209,MSC BEIJING,true
buques__0210,MSC CADIZ,true
buques__0211,MSC CANBERRA,true
buques__0212,MSC CARMEN,true
buques__0213,MSC CELINE,true
buques__0214,MSC CHARLESTON,true
buques__0215,MSC CLAUDIA,true
buques__0216,MSC CORUNA,true
buques__0217,MSC DESIREE ,true
buques__0218,MSC DIEGO,true
buques__0219,MSC EARTH,true
buques__0220,MSC ELBE,true
buques__0221,MSC ELODIE,true
buques__0222,MSC ERMINIA,true
buques__0223,MSC FAITH,true
buques__0224,MSC GENEVA,true
buques__0225,MSC HANNAH,true
buques__0226,MSC JENNY ,true
buques__0227,MSC JUDITH,true
buques__0228,MSC KATYAYNI,true
buques__0229,MSC Kwangyang,true
buques__0230,MSC LAURA,true
buques__0231,MSC LAUSANNE,true
buques__0232,MSC LORETTA,true
buques__0233,MSC LUCY,true
buques__0234,MSC LUDOVICA,true
buques__0235,MSC MADRID,true
buques__0236,MSC MANYA,true
buques__0237,MSC MARIA PIA,true
buques__0238,MSC MARIANNA,true
buques__0239,MSC METHONI,true
buques__0240,MSC MICHAELA,true
buques__0241,MSC NATASHA,true
buques__0242,MSC PERLE,true
buques__0243,MSC RIFAYA ,true
buques__0244,MSC RUBY,true
buques__0245,MSC SOLA,true
buques__0246,MSC SORAYA,true
buques__0247,MSC Spain,true
buques__0248,MSC TORONTO,true
buques__0249,MSC VANCOUVER,true
